,Genes,LogChange,LogChange_Thresh
22344,LPAL2,-1.0614461035926672,-1.0614461035926672
22345,RP11-288H12.3,0.0,0.0
22346,RPL31P11,-1.7557396130244787,-1.7557396130244787
22347,yR211F11.2,0.0,0.0
22348,FAM106A,-0.18848270679262602,-0.18848270679262602
22349,RP5-933K21.2,0.0,0.0
22350,SCAF8,-0.35195817491784953,-0.35195817491784953
22351,RP11-312J18.5,-15.525479952095735,-2.0
22352,AC012362.3,0.0,0.0
22353,PPP1R14BP2,0.0,0.0
22354,AC010731.6,0.0,0.0
22355,CFAP45,0.0,0.0
22356,RP11-613F7.1,16.73005476509298,2.0
22357,ACKR1,0.0,0.0
22358,PDCL3P5,-17.07276246541512,-2.0
22359,AC007256.5,-18.335790766347703,-2.0
22360,PHBP1,0.0,0.0
22361,ZNF254,-0.28316048841559066,-0.28316048841559066
22362,KRT18P68,0.0,0.0
22363,NPM1P46,0.3531536763143669,0.3531536763143669
22364,AHCYP5,0.0,0.0
22365,BTF3L4P3,0.0,0.0
22366,RP11-55K22.2,-0.9588993861196429,-0.9588993861196429
22367,AC019178.2,0.0,0.0
22368,COX5BP2,0.0,0.0
22369,TUBB8P8,0.0,0.0
22370,AC104131.1,0.0,0.0
22371,RP3-352A20.1,-17.05572077367854,-2.0
22372,CHCHD2P4,0.0,0.0
22373,LIN28AP1,0.0,0.0
22374,RP11-306O13.1,-3.321005968079325,-2.0
22375,RPL23AP46,0.0,0.0
22376,TCTEX1D2,0.38209523758427427,0.38209523758427427
22377,AC092642.1,0.0,0.0
22378,RPL32P31,0.0,0.0
22379,EEF1DP5,-16.985331975280985,-2.0
22380,YWHAZP4,16.8445335467216,2.0
22381,PPP1R14BP5,0.0,0.0
22382,ARF1P2,0.0,0.0
22383,CRYGS,0.0,0.0
22384,ELK2AP,0.0,0.0
22385,RP11-64B16.2,-14.34109430956567,-2.0
22386,CRIP1,-0.7886097933848486,-0.7886097933848486
22387,RPL23AP60,0.0,0.0
22388,AC073465.1,0.0,0.0
22389,CNN2P9,-0.2402482643062549,-0.2402482643062549
22390,RP11-346C16.2,0.0,0.0
22391,RPL7AP60,-17.539812228796684,-2.0
22392,RP11-259P6.3,0.0,0.0
22393,RP11-252O18.3,0.0,0.0
22394,RP11-259P15.1,0.0,0.0
22395,GAPDHP36,0.0,0.0
22396,CEND1P1,0.0,0.0
22397,KLHL23,-20.487397793331937,-2.0
22398,Metazoa_SRP,0.0,0.0
22399,RP11-393N4.2,-17.988100096849806,-2.0
22400,RP11-81B10.2,0.0,0.0
22401,LINGO4,0.0,0.0
22402,RP1-228H13.2,0.0,0.0
22403,RP11-373E16.1,-17.52545701153165,-2.0
