"Pathway","Mean_non_Tfh","Mean_Tfh","P_value","Cliffs_delta"
"PID-LKB1-PATHWAY",7310.43782069314,7431.90522447158,3.57722982451482e-08,-0.0805597649646604
"PID-LPA4-PATHWAY",6124.34372410943,5917.50920586767,4.55559300405458e-15,0.114594189012801
"PID-LYMPH-ANGIOGENESIS-PATHWAY",7621.29304982804,7592.21415499102,0.324026859462789,0.0144177336851583
"PID-LYSOPHOSPHOLIPID-PATHWAY",6874.45992357637,6920.76042355149,0.000146493621139875,-0.0555082267888666
"PID-MAPK-TRK-PATHWAY",7540.14453751778,7589.69051320393,0.0475211292575453,-0.0289698126405807
"PID-MET-PATHWAY",7711.30110053101,8104.58230670183,2.0513395252251e-75,-0.268639858832088
"PID-MTOR-4PATHWAY",6999.6857859364,7218.60355803868,4.36377042609924e-18,-0.126732113113335
"PID-MYC-ACTIV-PATHWAY",8106.49867114285,8054.53194341269,0.00129275836082057,0.0470384987926489
"PID-MYC-PATHWAY",9094.14188825445,9339.29153489126,1.48924118199287e-35,-0.181935565453768
"PID-MYC-REPRESS-PATHWAY",7908.82159531828,7996.92332493841,5.70689588573054e-11,-0.0957735799100493
"PID-NCADHERIN-PATHWAY",7489.23274922411,7819.60825438811,1.33985398934421e-56,-0.23175836427038
"PID-NECTIN-PATHWAY",7618.9336786999,7856.83603217071,9.63020478427214e-33,-0.174219721986035
"PID-NEPHRIN-NEPH1-PATHWAY",9070.82680484055,9123.1123418163,0.00638510708223577,-0.0398712584557118
"PID-NETRIN-PATHWAY",7203.81343210359,7377.1811389881,3.16868822422433e-19,-0.131027238606187
"PID-NFAT-3PATHWAY",8264.57426841031,8655.08254811544,2.65257580249994e-35,-0.181260508981996
"PID-NFAT-TFPATHWAY",8871.31221394369,9193.76056344845,5.08850079083695e-69,-0.256696404642297
"PID-NFKAPPAB-ATYPICAL-PATHWAY",8029.55602628087,8031.0833501456,0.787505186435887,-0.00394067294617902
"PID-NFKAPPAB-CANONICAL-PATHWAY",9331.9310678427,9229.58141442637,0.00305269111335193,0.0433076690529945
"PID-NOTCH-PATHWAY",8076.38115369114,8331.93207421132,4.97164365856252e-43,-0.20103941726724
"PID-P38-ALPHA-BETA-DOWNSTREAM-PATHWAY",8273.15974067917,8369.9329081102,3.72998146045474e-08,-0.0804521062760955
"PID-P38-ALPHA-BETA-PATHWAY",7754.36064238687,7855.600013439,4.59727117363034e-07,-0.0737158656381248
"PID-P38-GAMMA-DELTA-PATHWAY",3871.39704533964,3874.97924709542,0.164606729557316,0.020316973637626
