"Pathway","Mean_Tfh","mean_non_tfh","Cliffs_Delta","P_Value"
"PID-IL12-STAT4-PATHWAY",9146.79408477113,9367.73849182575,-0.166853537051545,1.26820389486072e-28
"PID-IL1-PATHWAY",8429.1629119731,8472.59202897242,-0.0453215108993425,0.00257178811105372
"PID-IL23-PATHWAY",7338.08266083161,7492.23894923358,-0.14465312084267,6.4399071664239e-22
"PID-IL27-PATHWAY",6726.0573366194,6958.22711835879,-0.180037416974051,4.74617516689573e-33
"PID-IL2-1PATHWAY",8563.1294669017,8350.61572516602,0.151665184036497,6.1983923225077e-24
"PID-IL2-PI3K-PATHWAY",8764.60455082776,8465.69983174791,0.182619928158123,5.89312152692736e-34
"PID-IL2-STAT5-PATHWAY",8682.9915500808,8407.62042347306,0.172611504244934,1.62398769510209e-30
"PID-IL3-PATHWAY",7569.62555061796,7396.60383202759,0.114998908805644,2.01486033514661e-14
"PID-IL4-2PATHWAY",6449.97468132236,6517.75079031316,-0.0769453421551169,3.08189664792264e-07
"PID-IL5-PATHWAY",8004.76584383552,7677.7870002878,0.15489747867077,6.77933343680331e-25
"PID-IL6-7-PATHWAY",7811.98908978279,7742.98524402374,0.0512166414914455,0.000657037026902322
"PID-IL8-CXCR1-PATHWAY",6391.51406253502,6535.14903693859,-0.0987987210236958,4.96283868779657e-11
"PID-IL8-CXCR2-PATHWAY",6876.96194333211,6800.28146864248,0.0465554452743241,0.00195591878141194
"PID-ILK-PATHWAY",7349.7943137974,7070.13180020857,0.21130734735746,7.07014959523325e-45
"PID-INSULIN-GLUCOSE-PATHWAY",6995.11674971961,6467.78098431335,0.296496327742236,1.37381751248775e-86
"PID-INSULIN-PATHWAY",7777.32850742393,7549.89721016974,0.16166642268955,5.67585472454934e-27
"PID-INTEGRIN1-PATHWAY",6352.78195246317,6541.26358346541,-0.276012652492401,2.73377621297371e-75
"PID-INTEGRIN2-PATHWAY",4832.00572597251,4777.51486515563,0.0552727744595103,0.000236253514575801
"PID-INTEGRIN3-PATHWAY",5750.74626614301,5895.65669204272,-0.228120641590109,5.21841543964924e-52
"PID-INTEGRIN4-PATHWAY",6251.86359863289,6468.34990366044,-0.254284908433511,3.49271483441804e-64
"PID-INTEGRIN5-PATHWAY",6555.6128667309,6572.90509536393,-0.00761063826022331,0.612679097331813
"PID-INTEGRIN-A4B1-PATHWAY",6773.86353519604,6535.05773188752,0.187546013816076,1.01592720118329e-35
"PID-INTEGRIN-A9B1-PATHWAY",6181.08064032568,6213.11436618805,-0.0334449729721614,0.0260985512192079
"PID-INTEGRIN-CS-PATHWAY",5792.65360700729,5648.157752201,0.143821882763365,1.10086261432166e-21
"PID-KIT-PATHWAY",6877.49554125762,6732.03542813964,0.108163474319934,6.24672105709477e-13
"PID-LIS1-PATHWAY",8591.92121019776,8350.08075949279,0.148442434001509,5.3793570816552e-23
