"Pathway","Mean_Tfh","mean_non_tfh","Cliffs_Delta","P_Value"
"PID-INTEGRIN4-PATHWAY",398.559949666482,450.499874324511,-0.513788400445753,2.89412267346657e-31
"PID-INTEGRIN5-PATHWAY",436.478121156152,421.026805218977,0.0339720240174309,0.442000030239906
"PID-INTEGRIN-A4B1-PATHWAY",45.1963377237636,87.1293321956143,-0.3321441045856,5.54500108515378e-14
"PID-INTEGRIN-A9B1-PATHWAY",-60.4182057104502,-81.471732366234,-0.0215724431581924,0.625452783870272
"PID-INTEGRIN-CS-PATHWAY",175.03759945342,127.890587862482,0.262869450958868,2.67715106678245e-09
"PID-KIT-PATHWAY",149.694351947945,87.7920784936776,0.177303195116677,5.98659185417514e-05
"PID-LYMPH-ANGIOGENESIS-PATHWAY",393.722330223384,445.360796995459,-0.383322522162899,4.06690131946373e-18
"PID-LYSOPHOSPHOLIPID-PATHWAY",-170.725565074827,-188.852268940239,0.062006220581142,0.160492549736006
"PID-MET-PATHWAY",-45.7341085704914,-102.916686405999,0.171540009646891,0.000103225533474368
"PID-MTOR-4PATHWAY",-131.566330708328,-62.8598786513732,-0.324925569249705,1.90930621487293e-13
"PID-MYC-ACTIV-PATHWAY",275.590880815954,197.649131489218,0.258120852252882,5.13400852938711e-09
"PID-MYC-REPRESS-PATHWAY",64.1599032372456,28.6919619580161,0.1253846281789,0.0045385340762019
"PID-NCADHERIN-PATHWAY",-109.473904062554,-197.216618312947,0.191964805482095,1.39128152597555e-05
"PID-NECTIN-PATHWAY",124.756231390574,88.6311751132228,0.0354024250286912,0.423015892846866
"PID-NEPHRIN-NEPH1-PATHWAY",309.193539897759,282.081297497403,0.0151023734677245,0.732594033054123
"PID-NETRIN-PATHWAY",-112.36562633651,-132.37672726269,-0.113666982685495,0.010086868542762
"PID-NFAT-3PATHWAY",613.762862315338,581.804113291798,0.0557357417294546,0.207137815557394
"PID-NFAT-TFPATHWAY",228.476877969719,93.5413413493595,0.581807295045157,1.30765812983201e-39
"PID-NFKAPPAB-CANONICAL-PATHWAY",-28.6140612581985,43.4924535200431,-0.233488016233388,1.25588827532887e-07
"PID-NOTCH-PATHWAY",-14.6139378784884,15.2223934844619,-0.265214643314539,1.93289819855825e-09
"PID-P38-ALPHA-BETA-PATHWAY",130.851082249741,88.2310639799466,0.143530761938027,0.00115873121376097
"PID-P53-DOWNSTREAM-PATHWAY",58.982982896064,24.5652633665553,0.242228431714984,4.18125689903968e-08
"PID-P73PATHWAY",202.924211177999,188.779978039963,0.0143622241072468,0.745239700546267
"PID-P75-NTR-PATHWAY",180.230608157968,214.212736005852,-0.368037190426293,8.0229722232423e-17
"PID-PDGFRB-PATHWAY",172.134128868762,154.900901867933,0.0989804234652296,0.0250660136982534
"PID-PI3KCI-AKT-PATHWAY",541.889915321926,277.261203668847,0.388644944530379,1.40046138801451e-18
"PID-PI3KCI-PATHWAY",303.926913881817,248.643892499248,0.284150824143838,1.25938312148399e-10
"PID-PI3K-PLC-TRK-PATHWAY",214.68790615376,264.844004767335,-0.326247858556626,1.52535117359099e-13
"PID-PRL-SIGNALING-EVENTS-PATHWAY",263.948685283588,297.04880946709,-0.341100743475874,1.15282596567199e-14
"PID-PS1-PATHWAY",-244.180916744582,-254.900440588647,-0.16489529797249,0.000189608829771738
"PID-PTP1B-PATHWAY",293.712764126705,259.002741106819,0.222776641218835,4.59010594241419e-07
"PID-RAC1-PATHWAY",-340.010027637574,-383.026337327275,-0.0641934035227783,0.146243633637245
"PID-RAC1-REG-PATHWAY",-76.7886980368155,-119.841111859214,0.0768507892154417,0.0819562882335662
"PID-RAS-PATHWAY",-67.3358579539564,95.1716220622511,-0.397826123114282,2.15247879276209e-19
"PID-RB-1PATHWAY",234.380469992163,248.225087202683,-0.171149144254279,0.000107048858814078
"PID-REELIN-PATHWAY",209.471979832027,164.638251566141,0.11125526005023,0.0117941638064067
"PID-REG-GR-PATHWAY",357.444155613036,287.173776342198,0.418741579761489,2.5755987981357e-21
"PID-RET-PATHWAY",81.3636419737448,85.0461098629762,-0.127056201453687,0.00402848208338943
"PID-RHOA-PATHWAY",-177.868202765179,-177.18409881897,-0.149809557074664,0.000696426661850923
"PID-RHOA-REG-PATHWAY",-104.895441513164,-78.544769757073,-0.202160570829799,4.73896317814506e-06
"PID-RXR-VDR-PATHWAY",-45.0017452956551,-88.6676955616958,-0.0769672172047303,0.0814938544400518
