Prot_1,Prot_2
SP1,RELA
SP1,STAT3
TXNIP,IL12RB1
PTPN11,STAT3
PTPN11,STAT1
IL2RB,SOCS1
IL2RB,IL2RG
IL2RB,STAT5A
IL2RB,IL2
IL2RG,IL4
IL2RG,IL2
PPP3CA,PPP3R1
PPP3CB,PPP3R1
IL18RAP,IL18
IL18RAP,IL18R1
STAT6,POLK
STAT6,NCOA1
STAT6,STAT3
STAT6,STAT2
STAT6,IRF4
SPSB1,NOS2
IL12RB1,IL12B
IL12RB2,JAK2
NR4A1,STAT3
IRF1,STAT3
IRF1,STAT1
IRF1,RELA
IRF9,STAT1
MTOR,STAT3
MTOR,STAT1
FOSB,FOS
IL12A,IL12B
IL12A,RELA
IRF7,STAT1
MAPK14,RELA
MAPK14,MAP2K3
MAPK14,MAP2K6
MAPK14,ATF2
ZNF557,STAT3
IL1R1,IL1B
ATF4,FOS
SPTB,STAT1
PRKCZ,RELA
UBE2F,STAT1
IL2,IL2RA
IL2,IL17A
HLA-A,B2M
HLA-A,CD3E
HLA-A,STAT3
HLA-A,CD8A
HLA-A,HLA-DRA
TYK2,SOCS1
REL,RELA
CA8,STAT3
PAFAH1B2,STAT3
RUNX1,FOS
JUN,FOS
IL2RA,RELA
NOS2,RELA
IL12B,RELB
IL12B,RELA
CD8A,B2M
CD8A,LCK
MAPKAPK2,STAT3
CCL4,CCR5
RELB,NFKB1
RELB,RELA
RELB,NFKB2
RELA,SOCS1
RELA,NR3C1
RELA,AHR
RELA,EGR1
RELA,FOS
RELA,STAT3
RELA,NFKB1
RELA,NFKB2
RELA,IRF4
RELA,GTF2B
RELA,PPARD
HIF1A,STAT3
SOCS1,JAK2
NFKB1,NFKB2
NFATC1,FOS
NFATC2,FOS
FOS,ATF2
FOS,NCOA1
FOS,NR2F6
FOS,JUND
FOS,CENPO
FOS,JUNB
LCK,CD4
LCK,CD3E
LCK,STAT3
LCK,CD247
STAT5A,JAK2
IL18,IL18R1
CD4,HLA-DRA
CD4,CCR5
CIITA,STAT1
CCL3,CCR1
CD247,CD3D
CD247,CD3E
CD247,CD3G
IRF4,STAT4
DNMT1,STAT3
CD3D,CD3E
CD3D,CD3G
CD3E,CD3G
BPIFB3,STAT1
JAK2,STAT3
JAK2,STAT1
PPARD,STAT3
ATF3,STAT3
PARP9,STAT1
NCOA1,STAT3
NR3C1,STAT3
GBP1,STAT1
STAT3,ZNF281
STAT3,STAT1
STAT2,STAT1
MAP2K3,MAP2K6
