"gene_set","d.hat","p.value","mean_Th17","mean_Tfh"
"PPI",-0.176751031072574,1e-04,7038.45059481616,7122.81755856095
"GRN",-0.0986817605203269,1e-04,6491.30625518271,6600.68017088802
"Review_2022",-0.175998263456716,1e-04,8047.09513968551,8254.50983170647
"Review_2016",-0.192627358124215,1e-04,7730.19533344284,7995.11207739279
