Prot_1,Prot_2
SP1,STAT3
TXNIP,IL12RB1
PTPN11,STAT3
PTPN11,STAT1
IL6ST,JAK1
IL6ST,IL6
STAT6,STAT3
STAT6,STAT2
IL27,EBI3
IL12RB1,IL12B
IL12RB2,JAK2
NR4A1,STAT3
IRF1,STAT3
IRF1,STAT1
IRF9,STAT2
IRF9,STAT1
IL12A,IL12B
IL12A,EBI3
IRF7,STAT1
IRF7,STAT2
ZNF557,STAT3
IL17RA,IL17A
SPTB,STAT1
UBE2F,STAT1
IL2,IL17A
CA8,STAT3
PAFAH1B2,STAT3
MAPKAPK2,STAT3
RELA,STAT3
HIF1A,STAT3
STAT5A,JAK2
CIITA,STAT1
IRF4,STAT4
DNMT1,STAT3
BPIFB3,STAT1
JAK2,STAT3
JAK2,STAT1
JAK1,STAT3
JAK1,STAT1
PPARD,STAT3
IL17F,IL17A
ATF3,STAT3
PARP9,STAT1
NCOA1,STAT3
NR3C1,STAT3
GBP1,STAT1
STAT3,ZNF281
STAT3,STAT1
STAT2,STAT1
