"Pathway","Mean_Tfh","mean_non_tfh","Cliffs_Delta","P_Value"
"PID-IL5-PATHWAY",7345.92883586554,7237.78330077925,0.0509497218941864,0.00536761174933148
"PID-IL6-7-PATHWAY",7152.83012022827,7298.97961697388,-0.110254566889775,1.69341368019211e-09
"PID-IL8-CXCR1-PATHWAY",5685.06137002739,5993.85992188923,-0.210808787068329,1.05218300645368e-30
"PID-IL8-CXCR2-PATHWAY",6180.03555009739,6374.00298528672,-0.127209263422862,3.62044755626318e-12
"PID-ILK-PATHWAY",6747.37647854371,6942.24279706494,-0.135592764668513,1.26902201079853e-13
"PID-INSULIN-GLUCOSE-PATHWAY",6614.5442169654,6366.33018728709,0.119407763065397,6.80245813889421e-11
"PID-INSULIN-PATHWAY",7138.71494883588,7052.76477275106,0.0569783350293838,0.00184862454064578
"PID-INTEGRIN1-PATHWAY",5453.80484432768,5539.61926447107,-0.110936638076101,1.34397532278035e-09
"PID-INTEGRIN2-PATHWAY",3873.160284474,3766.51786953692,0.0970017245945908,1.15432082452126e-07
"PID-INTEGRIN3-PATHWAY",4981.90787854382,5049.46517830497,-0.083448671404987,5.11567752366828e-06
"PID-INTEGRIN4-PATHWAY",4444.04281291715,4400.40783236996,0.0689108468237389,0.000166165068502518
"PID-INTEGRIN5-PATHWAY",5696.37831123947,5825.75832464567,-0.119393325062183,6.83835652259703e-11
"PID-INTEGRIN-A4B1-PATHWAY",6089.4912535678,6229.95407634836,-0.106206947368002,6.49064539806022e-09
"PID-INTEGRIN-A9B1-PATHWAY",5369.46256091073,5391.09977357343,-0.0213333944044274,0.243721021363899
"PID-INTEGRIN-CS-PATHWAY",5079.83417932413,5323.86180345043,-0.222549870854551,5.00886985490608e-34
"PID-KIT-PATHWAY",6295.8252955474,6591.26734822518,-0.187451582903014,1.27016856275058e-24
"PID-LIS1-PATHWAY",7983.61507779373,8005.59719342483,-0.0169377692189737,0.35468496084053
"PID-LKB1-PATHWAY",6235.14220965856,6368.45267943538,-0.0980947810103416,8.30771554845467e-08
"PID-LPA4-PATHWAY",4950.05386405147,5229.62675139388,-0.149804738453082,2.70112310310589e-16
"PID-LYMPH-ANGIOGENESIS-PATHWAY",6410.0471661204,6725.57128023698,-0.196052649921238,8.82942451493397e-27
"PID-LYSOPHOSPHOLIPID-PATHWAY",5886.36285060885,5856.88574187404,0.0360263030546832,0.0489965970091745
"PID-MAPK-TRK-PATHWAY",6499.33917787812,6671.58205794914,-0.113738108561835,5.12807149680822e-10
"PID-MET-PATHWAY",6975.11183464391,7006.73151637143,-0.032445678257562,0.0762352906069565
"PID-MTOR-4PATHWAY",6161.03015036613,6358.52494179796,-0.129419273638994,1.52692242017702e-12
"PID-MYC-ACTIV-PATHWAY",7056.60736816444,7503.69099587412,-0.397557388573466,1.21014124897199e-104
"PID-MYC-PATHWAY",8097.53097553417,8156.27000775359,-0.0386400794986329,0.0347336971662741
"PID-MYC-REPRESS-PATHWAY",6694.60845935677,6999.20601210751,-0.318078172328023,1.14591694047667e-67
"PID-NCADHERIN-PATHWAY",6610.04928185773,6490.34909964613,0.0860574692271387,2.56940855360814e-06
"PID-NECTIN-PATHWAY",6739.71276287065,6698.19974425659,0.0274177681037624,0.134077853728826
"PID-NEPHRIN-NEPH1-PATHWAY",8045.11973362468,8095.67080476311,-0.0500699994224799,0.00621852964103525
"PID-NETRIN-PATHWAY",6402.32398043553,6297.92484984729,0.0752234903325122,3.94756848559116e-05
"PID-NFAT-3PATHWAY",7483.65903116645,7453.19581669802,0.0110326259043666,0.546603580484116
"PID-NFAT-TFPATHWAY",7964.85391089344,8029.76182586112,-0.0525886841900878,0.00405742574975199
"PID-NFKAPPAB-ATYPICAL-PATHWAY",6904.01978431804,7359.06403890151,-0.219497975692377,3.80545401568164e-33
"PID-NFKAPPAB-CANONICAL-PATHWAY",8008.7059872128,7992.85468450332,0.0101832730256279,0.577906678792615
"PID-NOTCH-PATHWAY",7025.14477132834,6953.94381656617,0.0547031048676981,0.00279705791649088
"PID-P38-ALPHA-BETA-DOWNSTREAM-PATHWAY",7220.60609232642,7230.6174502503,-0.00510109589423017,0.780450039302417
"PID-P38-ALPHA-BETA-PATHWAY",6742.05065512647,6717.29491843618,0.0204083664743591,0.264769495741096
"PID-P38-GAMMA-DELTA-PATHWAY",3057.19521014535,3362.33187636306,-0.12738874273868,3.37710160266472e-12
