"Pathway","Mean_Tfh","mean_non_tfh","Cliffs_Delta","P_Value"
"PID-TOLL-ENDOGENOUS-PATHWAY",9298.78129049244,9255.78726293349,0.0428805925096285,0.00335522002022424
"PID-TRAIL-PATHWAY",8812.48382576109,8818.45797155947,0.000892152954348284,0.951340867490007
"PID-TRKR-PATHWAY",7579.37390456296,7274.27015409927,0.235790729574193,1.59981062544336e-58
"PID-TXA2PATHWAY",6556.98761897754,6576.82323642585,-0.0169118570489686,0.247344819932745
"PID-UPA-UPAR-PATHWAY",4821.19071461902,5023.35735426307,-0.20960284481698,1.27549922999493e-46
"PID-VEGFR1-2-PATHWAY",8060.21812860504,7685.61557489062,0.26392103253441,7.46519365030319e-73
"PID-VEGFR1-PATHWAY",7594.60115581356,7089.12734479188,0.246669457581313,7.11084661596424e-64
"PID-VEGF-VEGFR-PATHWAY",7246.14006085371,7190.12845524055,0.00752255962728927,0.606857504174321
"PID-WNT-CANONICAL-PATHWAY",8780.79541269418,8544.82824274346,0.165923890142702,7.43935501767556e-30
"PID-WNT-NONCANONICAL-PATHWAY",8787.01346242404,8696.55070619358,0.0720775376122279,8.20892088853989e-07
"PID-WNT-SIGNALING-PATHWAY",5611.77565102277,5665.68217988861,-0.0710126289572038,1.18882748505667e-06
