"Pathway","Mean_Tfh","mean_non_tfh","Cliffs_Delta","P_Value"
"PID-LYMPH-ANGIOGENESIS-PATHWAY",5751.23132122849,6012.37191044423,-0.179357138749928,3.26987854277322e-14
"PID-LYSOPHOSPHOLIPID-PATHWAY",5347.8259581697,5294.42369847982,0.070498789284368,0.00286164425904231
"PID-MAPK-TRK-PATHWAY",5846.19713124591,6036.10357723051,-0.142459381928073,1.67746970666838e-09
"PID-MET-PATHWAY",6283.2445576183,6196.31796601562,0.0782282023268741,0.000935654405530864
"PID-MTOR-4PATHWAY",5535.54386868264,5593.63692709553,-0.0343485455439915,0.146226630127827
"PID-MYC-ACTIV-PATHWAY",6334.88201363425,6557.09346923017,-0.247692612398495,1.091422405146e-25
"PID-MYC-PATHWAY",7273.8345980464,7178.94033312646,0.0865632926353989,0.000250464309155839
"PID-MYC-REPRESS-PATHWAY",6001.43283337631,6229.3694911143,-0.268603811677815,6.42883097879038e-30
"PID-NCADHERIN-PATHWAY",5938.89332711193,5734.97401904709,0.167922105303509,1.21692853504205e-12
"PID-NECTIN-PATHWAY",6069.23577163519,6050.37252389838,0.0123882723503217,0.600262340256649
"PID-NEPHRIN-NEPH1-PATHWAY",7134.40213096161,7109.90488611526,0.0176528089241562,0.455229934350909
"PID-NETRIN-PATHWAY",5757.25166375239,5594.94691668891,0.143946741290195,1.13457254473282e-09
"PID-NFAT-3PATHWAY",6744.83940555368,6595.09598647345,0.0923389492649455,9.37948802486943e-05
"PID-NFAT-TFPATHWAY",7089.03612234298,6870.49010960271,0.203338891763939,7.85840188682944e-18
"PID-NFKAPPAB-ATYPICAL-PATHWAY",6198.53888156379,6488.15961747674,-0.162639679527725,5.98618139952322e-12
"PID-NFKAPPAB-CANONICAL-PATHWAY",7219.25504560418,7234.22564877847,-0.0121812687277583,0.606366737402814
"PID-NOTCH-PATHWAY",6317.96495995797,6285.73374485978,0.03186577987337,0.177670166579286
"PID-P38-ALPHA-BETA-DOWNSTREAM-PATHWAY",6380.51842417497,6346.02728752515,0.0292884569924418,0.215368788037817
"PID-P38-ALPHA-BETA-PATHWAY",6064.34409582726,6032.48444861331,0.0270689181505121,0.252190147992126
"PID-P38-GAMMA-DELTA-PATHWAY",2731.28435967859,2791.46095375777,-0.0330796900056862,0.161718736667626
"PID-P38-MK2-PATHWAY",6760.84164263225,7018.14296549221,-0.160845648132176,1.01692337083418e-11
"PID-P38-MKK3-6PATHWAY",5738.44144824342,5727.87207489726,0.0136877950919697,0.562591958424695
"PID-P53-DOWNSTREAM-PATHWAY",5592.16161628507,5552.68400051768,0.0789974380107207,0.000832571261358753
"PID-P53-REGULATION-PATHWAY",6230.91230650128,6110.17864960494,0.105997354953712,7.32955032612508e-06
"PID-P73PATHWAY",5148.39330787661,5240.14645182726,-0.12827963378248,5.74779272786801e-08
"PID-P75-NTR-PATHWAY",6147.4992992566,6197.34896645982,-0.0750669247822948,0.00149597160956861
"PID-PDGFRA-PATHWAY",6828.45222022478,6913.12393693701,-0.0684900874654195,0.00376450100182075
"PID-PDGFRB-PATHWAY",6888.51733800707,7006.86420565984,-0.107236821088813,5.72445709429043e-06
"PID-PI3KCI-AKT-PATHWAY",7071.97736449889,6840.56313323813,0.15847660667395,2.02969286487405e-11
"PID-PI3KCI-PATHWAY",6815.07002336755,6844.16259733778,-0.0435972629521017,0.0651496141615438
"PID-PI3K-PLC-TRK-PATHWAY",6693.16348967434,6948.543547008,-0.214087746535564,1.34900063459569e-19
"PID-PLK1-PATHWAY",2933.53177001056,2899.49845959557,0.040260926788441,0.0885501106973626
"PID-PRL-SIGNALING-EVENTS-PATHWAY",5770.671559753,6062.35983619175,-0.223870584401894,2.79373303512028e-21
"PID-PS1-PATHWAY",5677.01676822972,5698.24877713851,-0.0148045924137006,0.531158335381984
"PID-PTP1B-PATHWAY",5660.05865528771,5547.47897505021,0.126879164829829,7.99541817642717e-08
"PID-RAC1-PATHWAY",7025.19157238368,7117.59400446982,-0.088077485800446,0.000194667171086166
"PID-RAC1-REG-PATHWAY",5891.95398758039,5757.15419269284,0.102295567950217,1.50952773875392e-05
"PID-RANBP2-PATHWAY",7180.09324494054,6686.92269955801,0.168838288003373,9.18539532009491e-13
"PID-RAS-PATHWAY",6031.00843535401,6147.91947602527,-0.0768877899807691,0.00114398490090367
"PID-RB-1PATHWAY",5947.42375365855,5913.98785632249,0.0434656495377558,0.0659648323927293
"PID-REELIN-PATHWAY",6478.45035058915,6438.9285354671,0.0326656827605594,0.167032824341388
"PID-REG-GR-PATHWAY",6790.59621774008,6739.79041570553,0.0672991777356104,0.00441511669478847
"PID-RETINOIC-ACID-PATHWAY",5551.57855513945,5457.46994464707,0.0581462953379462,0.0139058942891731
"PID-RET-PATHWAY",5897.01920336456,5734.40997256523,0.150673081223366,1.844426978677e-10
"PID-RHOA-PATHWAY",6461.53428920822,6411.06034169567,0.0504488272989222,0.0328373894768458
"PID-RHOA-REG-PATHWAY",5227.05595996123,5330.16529130144,-0.10147394246066,1.76643130925397e-05
"PID-RHODOPSIN-PATHWAY",5150.22711400492,5196.88857227541,-0.0603632785795974,0.0106655991651147
"PID-RXR-VDR-PATHWAY",4410.80122769842,4568.41605915589,-0.109853755774059,3.36763018195065e-06
"PID-S1P-META-PATHWAY",3062.42395204195,3391.76010915217,-0.244795200582677,3.95812682150065e-25
"PID-S1P-S1P1-PATHWAY",4878.99032520094,5061.84819408231,-0.146340060951067,5.99853199111026e-10
"PID-S1P-S1P2-PATHWAY",5236.58473216001,5384.78898251373,-0.0983957219251337,3.1502813737566e-05
"PID-S1P-S1P3-PATHWAY",4830.66257605061,4869.67434939928,-0.028523054709013,0.227602037675973
"PID-S1P-S1P4-PATHWAY",4837.90284340766,4992.74952986177,-0.0780876443115532,0.000955722612081989
"PID-SHP2-PATHWAY",6809.90741011723,6819.69359585048,-0.00936627502092398,0.69196754950894
"PID-SMAD2-3NUCLEAR-PATHWAY",6409.06743009121,6507.29018973413,-0.104484439588804,9.8752338637178e-06
"PID-SMAD2-3PATHWAY",5236.82132202395,5111.06970517583,0.0516870156338847,0.0287831468686207
"PID-SYNDECAN-1-PATHWAY",4839.79530939452,5262.67422651144,-0.499969971696727,2.77301335163761e-99
"PID-SYNDECAN-2-PATHWAY",5957.96546855246,5994.7632531763,-0.0224407260460391,0.342486611141024
"PID-SYNDECAN-3-PATHWAY",6455.07883522617,6079.09538669778,0.303057136833228,1.26805752037876e-37
"PID-SYNDECAN-4-PATHWAY",4206.55492708227,4338.78556613437,-0.119812930059609,4.01352348425189e-07
"PID-TAP63-PATHWAY",4270.83318933362,4278.73567740278,-0.00297344092410506,0.899925182750658
"PID-TCPTP-PATHWAY",6766.14761856841,6820.71574024646,-0.0389332924437289,0.0995715704246119
"PID-TCR-CALCIUM-PATHWAY",6091.41821183131,5938.3408759339,0.0969620301688613,4.10172847548889e-05
"PID-TCR-JNK-PATHWAY",6166.30829611424,6166.59632275564,-0.00466269270823351,0.843659441332863
"PID-TCR-PATHWAY",7735.66342670205,7742.59567857249,-0.011619036666475,0.623084885244881
"PID-TCR-RAS-PATHWAY",7196.17058148466,7081.77330728031,0.0500808208588095,0.0341328793850981
"PID-TELOMERASE-PATHWAY",6289.51733880288,6388.76630533622,-0.0721420402634824,0.00227522870973376
"PID-TGFBR-PATHWAY",5826.43188070436,6117.50649506891,-0.187480114235332,2.17771435734537e-15
"PID-THROMBIN-PAR1-PATHWAY",5262.83984571712,5570.374896308,-0.234693551581597,3.14467700388299e-23
"PID-THROMBIN-PAR4-PATHWAY",5644.61851095,5846.04356112732,-0.113253981944684,1.66069847302222e-06
